date,price,log_return
2019-09-06,26.05,-0.01637196286943121
2019-09-09,25.97,-0.003075742524718983
2019-09-10,27.69,0.06412931150821333
2019-09-11,27.27,-0.015284140325373397
2019-09-12,27.42,0.005485477276671258
2019-09-13,27.38,-0.001459854273865524
2019-09-16,28.07,0.02488857051348825
2019-09-17,27.24,-0.030014909092479503
2019-09-18,26.47,-0.028674465042301645
2019-09-19,26.98,0.01908383454059992
2019-09-20,27.59,0.022357537449584797
2019-09-23,26.84,-0.02756007612571354
2019-09-24,26.58,-0.009734258818381747
2019-09-25,26.26,-0.012112184410449256
2019-09-26,26.69,0.016242094541782937
2019-09-27,26.34,-0.013200267101297847
2019-09-30,25.76,-0.022265795078982187
2019-10-01,26.05,0.011194866963223138
2019-10-02,25.2,-0.033173773681998586
2019-10-03,24.17,-0.041731799801985936
2019-10-04,23.91,-0.010815413245158112
2019-10-07,24.35,0.01823506805836539
2019-10-08,23.5,-0.03553142837848533
2019-10-09,23.6,0.00424629088145112
2019-10-10,24.18,0.02427913315508201
2019-10-11,25.36,0.04764728438237853
2019-10-14,25.06,-0.011900180101103164
2019-10-15,26.64,0.061140896204266326
2019-10-16,27.23,0.02190546101348012
2019-10-17,27.0,-0.008482440681339298
2019-10-18,26.8,-0.0074349784875180625
2019-10-21,26.83,0.001118776920721487
2019-10-22,26.52,-0.011621499119870649
2019-10-23,25.59,-0.03569751514596442
2019-10-24,26.28,0.02660654344471247
2019-10-25,25.8,-0.018433701688838067
2019-10-28,25.93,0.0050261076230011525
2019-10-29,26.25,0.012265389487059686
2019-10-30,26.76,0.01924224622239512
2019-10-31,26.35,-0.015439960272656261
2019-11-01,26.02,-0.012602801903012217
2019-11-04,26.37,0.01336152728083606
2019-11-05,26.24,-0.004942036289307339
2019-11-06,25.52,-0.027822505599298886
2019-11-07,25.65,0.005081113140189331
2019-11-08,25.56,-0.0035149421074445186
2019-11-11,25.65,0.0035149421074445186
2019-11-12,24.83,-0.03249097209670326
2019-11-13,25.1,0.010815246617663199
2019-11-14,24.67,-0.017279915596473128
2019-11-15,24.57,-0.0040617440081773815
2019-11-18,24.13,-0.018070306896147414
2019-11-19,24.17,0.0016563150784509872
2019-11-20,24.75,0.023713294299307908
2019-11-21,24.66,-0.0036429912785012064
2019-11-22,25.31,0.02601707682083454
2019-11-25,25.16,-0.0059441427247928225
2019-11-26,25.11,-0.0019892586627463515
2019-11-27,25.84,0.028657505744907663
2019-11-28,25.73,-0.004266052620748528
2019-11-29,25.94,0.008128552594645289
2019-12-02,25.06,-0.034513229420376046
2019-12-03,24.74,-0.012851582503579984
2019-12-04,25.48,0.029472463739620647
2019-12-05,25.43,-0.0019642512699342696
2019-12-06,25.68,0.009782899387732247
2019-12-09,25.87,0.007371517376177028
2019-12-10,25.68,-0.007371517376177028
2019-12-11,25.19,-0.019265388457241794
2019-12-12,25.79,0.023539729528734732
2019-12-13,24.71,-0.04277879989273492
2019-12-16,25.52,0.03225443847607057
2019-12-17,26.61,0.04182462651300867
2019-12-18,27.13,0.019353041681242633
2019-12-19,27.38,0.009172693189462233
2019-12-20,27.21,-0.006228267065147897
2019-12-23,27.08,-0.004789104751080853
2019-12-24,26.62,-0.017132635077108382
2019-12-26,26.62,0.0
2019-12-27,27.25,0.023390708142287497
2019-12-30,25.63,-0.061289980733273186
2019-12-31,25.18,-0.017713511759778644
2020-01-02,24.9,-0.011182225145539348
2020-01-03,25.5,0.023810648693718406
2020-01-06,24.74,-0.030257085200038336
2020-01-07,25.06,0.012851582503579984
2020-01-08,24.6,-0.01852650652960497
2020-01-09,25.2,0.02409755157906046
2020-01-10,24.73,-0.01882691298405259
2020-01-13,24.66,-0.002834583797126644
2020-01-14,24.37,-0.011829630099083221
2020-01-15,25.04,0.02712167859478276
2020-01-16,25.37,0.01309282737929296
2020-01-17,25.97,0.02337465206346634
2020-01-20,25.7,-0.010451033773482887
2020-01-21,25.45,-0.009775248904642542
2020-01-22,25.55,0.003921573653181909
2020-01-23,25.21,-0.013396575449885262
2020-01-24,24.87,-0.01357848338451495
2020-01-27,25.05,0.007211569715560362
2020-01-28,25.1,0.001994018606864767
2020-01-29,24.43,-0.027055960868089368
2020-01-30,24.17,-0.010699690554257568
2020-01-31,24.31,0.00577559361264024
2020-02-03,23.63,-0.028370697129215472
2020-02-04,23.78,0.006327800063819389
2020-02-05,24.19,0.017094433359300165
2020-02-06,23.98,-0.008719175022567693
2020-02-07,23.75,-0.009637619118717744
2020-02-10,23.58,-0.007183635371425634
2020-02-11,23.74,0.0067624940722970095
2020-02-12,24.31,0.02372639914650998
2020-02-13,24.82,0.020761991448429384
2020-02-14,24.71,-0.004441759775942522
2020-02-17,25.47,0.030293268990846833
2020-02-18,25.56,0.003527340517968547
2020-02-19,26.13,0.022055450023187095
2020-02-20,26.06,-0.0026825078358219123
2020-02-21,26.03,-0.001151852690225219
2020-02-24,25.0,-0.040373894138273414
2020-02-25,24.62,-0.01531670411189312
2020-02-26,24.69,0.002839182600780532
2020-02-27,24.02,-0.027511486705250388
2020-02-28,24.02,0.0
2020-03-02,23.93,-0.0037539147315555077
2020-03-03,23.77,-0.006708620548179667
2020-03-04,24.24,0.019579879829011215
2020-03-05,24.21,-0.0012383902511463596
2020-03-06,23.83,-0.015820479839316448
2020-03-09,23.68,-0.006314481094845892
2020-03-10,24.5,0.03404230753487658
2020-03-11,24.34,-0.006552029991300223
2020-03-12,22.96,-0.058367516108015494
2020-03-13,22.38,-0.02558586856758671
2020-03-16,19.98,-0.11343592966337157
2020-03-17,19.05,-0.04766467164769761
2020-03-18,16.12,-0.16700636449422745
2020-03-19,17.19,0.06426708231627565
2020-03-20,16.84,-0.020570810580577525
2020-03-23,16.28,-0.033819648239786115
2020-03-24,17.5,0.0722635203550741
2020-03-25,18.21,0.039770012810047994
2020-03-26,18.06,-0.008271345750677117
2020-03-27,17.11,-0.05403646008473739
2020-03-30,17.78,0.03841114218165664
2020-03-31,18.42,0.03536280074140219
2020-04-01,17.84,-0.03199390367529764
2020-04-02,18.82,0.0534770070053705
2020-04-03,18.73,-0.004793617701236652
2020-04-06,21.17,0.12245856869077665
2020-04-07,21.3,0.0061219875686058245
2020-04-08,21.93,0.02914848971441719
2020-04-09,21.86,-0.003197079681404258
2020-04-14,20.57,-0.06082477908352679
2020-04-15,20.02,-0.027101929777791245
2020-04-16,21.69,0.08011955095170853
2020-04-17,22.48,0.03577470018670725
2020-04-20,22.15,-0.014788528534345868
